word,ahpa,disc
do,du,du
say,se,s1
go,go,g5
get,gEt,gEt
know,no,n5
see,si,si
think,TINk,TINk
come,kVm,kVm
take,tek,t1k
look,lUk,lUk
give,gIv,gIv
want,wQnt,wQnt
find,f2nd,f2nd
tell,tEl,tEl
seem,sim,sim
feel,fil,fil
ask,{sk,#sk
put,pUt,pUt
use,juz,juz
use,juz,jus
leave,liv,liv
try,tr2,tr2
mean,min,min
call,kQl,k$l
keep,kip,kip
turn,t3n,t3n
need,nid,nid
work,w3k,w3k
live,lIv,lIv
bring,brIN,brIN
talk,tQk,t$k
hear,hir,h7R
sit,sIt,sIt
show,So,S5
stand,st{nd,st{nd
hold,hold,h5ld
write,r2t,r2t
change,Jen_,J1n_
start,start,st#t
run,rVn,rVn
let,lEt,lEt
move,muv,muv
believe,biliv,bIliv
play,ple,pl1
help,hElp,hElp
read,rid,rid
speak,spik,spik
remember,rImEmb3,rImEmb@R
pay,pe,p1
grow,gro,gr5
lose,luz,luz
stop,stap,stQp
like,l2k,l2k
wait,wet,w1t
set,sEt,sEt
carry,keri,k{rI
walk,wQk,w$k
learn,l3n,l3n
lie,l2,l2
lead,lid,lid
fall,fQl,f$l
appear,@pir,@p7R
eat,it,it
expect,IkspEkt,IkspEkt
spend,spEnd,spEnd
send,sEnd,sEnd
continue,k@ntInju,k@ntInju
remain,rImen,rIm1n
pass,p{s,p#s
buy,b2,b2
reach,riJ,riJ
develop,dIvEl@p,dIvEl@p
stay,ste,st1
watch,waJ,wQJ
decide,dIs2d,dIs2d
produce,pr@dus,pr@djus
wear,wer,w8R
build,bIld,bIld
die,d2,d2
love,lVv,lVv
add,{d,{d
meet,mit,mit
suggest,s@g_Est,s@_Est
break,brek,br1k
hope,hop,h5p
drive,dr2v,dr2v
draw,drQ,dr$
involve,Invalv,InvQlv
kill,kIl,kIl
consider,k@nsId3,k@nsId@R
accept,@ksEpt,@ksEpt
offer,Qf3,Qf@R
realize,ri@l2z,r7l2z
rise,r2z,r2z
catch,k{J,k{J
agree,@gri,@gri
cut,kVt,kVt
require,rIkw23,rIkw2@R
pick,pIk,pIk
wish,wIS,wIS
pull,pUl,pUl
cover,kVv3,kVv@R
choose,Juz,Juz
listen,lIs@n,lIsH
raise,rez,r1z
wonder,wVnd3,wVnd@R
laugh,l{f,l#f
answer,{ns3,#ns@R
plan,pl{n,pl{n
smile,sm2l,sm2l
create,kriet,kri1t
throw,Tro,Tr5
receive,rIsiv,rIsiv
win,wIn,wIn
prove,pruv,pruv
serve,s3v,s3v
enjoy,In_4,In_4
fail,fel,f1l
sell,sEl,sEl
join,_4n,_4n
teach,tiJ,tiJ
drop,drap,drQp
fight,f2t,f2t
force,fors,f$s
end,End,End
fill,fIl,fIl
face,fes,f1s
feed,fid,fid
exist,IgzIst,IgzIst
point,p4nt,p4nt
shake,Sek,S1k
tend,tEnd,tEnd
drink,drINk,drINk
enter,Ent3,Ent@R
sleep,slip,slip
hang,h{N,h{N
include,Inklud,Inklud
form,form,f$m
finish,fInIS,fInIS
sound,s6nd,s6nd
marry,meri,m{rI
contain,k@nten,k@nt1n
push,pUS,pUS
occur,@k3,@k3R
establish,Ist{blIS,Ist{blIS
imagine,Im{_@n,Im{_In
act,{kt,{kt
save,sev,s1v
care,ker,k8R
stare,ster,st8R
lay,le,l1
cry,kr2,kr2
close,kloz,kl5z
suffer,sVf3,sVf@R
seek,sik,sik
share,Ser,S8R
argue,argju,#gju
reduce,rIdus,rIdjus
achieve,@Jiv,@Jiv
study,stVdi,stVdI
thank,T{Nk,T{Nk
mention,mEnJ@n,mEnSH
strike,str2k,str2k
assume,@sum,@sjum
touch,tVJ,tVJ
encourage,Ink3I_,InkVrI_
bear,ber,b8R
deal,dil,dil
regard,rIgard,rIg#d
destroy,dIstr4,dIstr4
hide,h2d,h2d
place,ples,pl1s
claim,klem,kl1m
hit,hIt,hIt
present,prIzEnt,prIzEnt
treat,trit,trit
admit,@dmIt,@dmIt
worry,w3i,wVrI
fly,fl2,fl2
maintain,menten,m1nt1n
travel,tr{v@l,tr{vP
stick,stIk,stIk
wash,wQS,wQS
hate,het,h1t
climb,kl2m,kl2m
introduce,Intr@dus,Intr@djus
ring,rIN,rIN
matter,m{t3,m{t@R
survive,s3v2v,s@v2v
own,on,5n
spread,sprEd,sprEd
lift,lIft,lIft
burn,b3n,b3n
gain,gen,g1n
press,prEs,prEs
control,k@ntrol,k@ntr5l
publish,pVblIS,pVblIS
beat,bit,bit
order,ord3,$d@R
protect,pr@tEkt,pr@tEkt
miss,mIs,mIs
blow,blo,bl5
shout,S6t,S6t
check,JEk,JEk
prefer,prIf3,prIf3R
dress,drEs,drEs
emerge,Im3_,Im3_
demand,dIm{nd,dIm#nd
settle,sEt@l,sEtP
approach,@proJ,@pr5J
pour,por,p$R
nod,nad,nQd
reveal,rIvil,rIvil
fear,fir,f7R
sing,sIN,sIN
reflect,rIflEkt,rIflEkt
insist,InsIst,InsIst
examine,Igz{mIn,Igz{mIn
guess,gEs,gEs
gather,g{D3,g{D@R
promise,pramIs,prQmIs
cross,krQs,krQs
indicate,Ind@ket,IndIk1t
fit,fIt,fIt
shoot,Sut,Sut
announce,@n6ns,@n6ns
affect,@fEkt,@fEkt
lean,lin,lin
roll,rol,r5l
paint,pent,p1nt
cook,kUk,kUk
shut,SVt,SVt
last,l{st,l#st
ignore,Ignor,Ign$R
hand,h{nd,h{nd
collect,k@lEkt,k@lEkt
identify,2dEnt@f2,2dEntIf2
stretch,strEJ,strEJ
obtain,@bten,@bt1n
hurt,h3t,h3t
jump,_Vmp,_Vmp
handle,h{nd@l,h{ndP
combine,k@mb2n,k@mb2n
succeed,s@ksid,s@ksid
repeat,rIpit,rIpit
wake,wek,w1k
bend,bEnd,bEnd
dance,d{ns,d#ns
deny,dIn2,dIn2
invite,Inv2t,Inv2t
suspect,s@spEkt,s@spEkt
threaten,TrEt@n,TrEtH
mind,m2nd,m2nd
count,k6nt,k6nt
organize,org@n2z,$g@n2z
employ,Impl4,Impl4
lock,lak,lQk
tear,ter,t8R
tie,t2,t2
slip,slIp,slIp
concentrate,kans@ntret,kQns@ntr1t
clean,klin,klin
reject,rI_Ekt,rI_Ekt
note,not,n5t
train,tren,tr1n
kiss,kIs,kIs
ensure,InSur,InS$R
adopt,@dapt,@dQpt
bother,baD3,bQD@R
name,nem,n1m
acquire,@kw23,@kw2@R
result,rIzVlt,rIzVlt
vote,vot,v5t
